year   day  hour  min   field
2018   1  6 18    0.19
2018   1  6 19    0.26
2018   1  6 20    0.53
2018   1  6 21    0.54
2018   1  6 22    0.51
2018   1  6 23    0.94
2018   1  6 24    1.83
2018   1  6 25    1.48
2018   1  6 26    1.68
2018   1  6 27    1.62
2018   1  6 28    1.21
2018   1  6 29    0.88
2018   1  6 30    2.93
2018   1  6 31    3.03
2018   1  6 32    1.95
2018   1  6 33    2.59
2018   1  6 34    2.16
2018   1  6 35    2.06
2018   1  6 36    1.85
2018   1  6 37    2.20
2018   1  6 38    2.80
2018   1  6 39    3.17
2018   1  6 40   -0.81
2018   1  6 41   -2.60
2018   1  6 42   -3.51
2018   1  6 43   -1.50
2018   1  6 44   -1.95
2018   1  6 45   -1.75
2018   1  6 46   -2.11
2018   1  6 47   -2.62
2018   1  6 48   -2.37
2018   1  6 49   -2.51
2018   1  6 50   -2.88
2018   1  6 51   -1.70
2018   1  6 52    0.32
2018   1  6 53    0.30
2018   1  6 54    0.30
2018   1  6 55    0.08
2018   1  6 56    0.91
2018   1  6 57    4.29
2018   1  6 58    2.97
2018   1  6 59    0.03
2018   1  7  0    1.13
2018   1  7  1    2.69
2018   1  7  2    2.71
2018   1  7  3    1.69
2018   1  7  4    1.43
2018   1  7  5    2.11
2018   1  7  6    2.96
2018   1  7  7    2.57
2018   1  7  8    2.92
2018   1  7  9    3.15
2018   1  7 10    3.10
2018   1  7 11    3.39
2018   1  7 12    3.17
2018   1  7 13    3.27
2018   1  7 14    3.39
2018   1  7 15    3.05
2018   1  7 16    2.27
2018   1  7 17    0.70
2018   1  7 18   -0.15
2018   1  7 19   -0.08
2018   1  7 20    0.52
2018   1  7 21   -4.08
2018   1  7 22   -3.25
2018   1  7 23    0.25
2018   1  7 24    2.06
2018   1  7 25    1.47
2018   1  7 26    0.88
2018   1  7 27    0.43
2018   1  7 28   -0.47
2018   1  7 29   -0.60
2018   1  7 30   -2.18
2018   1  7 31   -4.33
2018   1  7 32   -4.18
2018   1  7 33   -4.49
2018   1  7 34   -4.19
2018   1  7 35   -5.21
2018   1  7 36   -6.47
2018   1  7 37   -4.48
2018   1  7 38   -2.91
2018   1  7 39   -2.07
2018   1  7 40   -2.23
2018   1  7 41   -5.62
2018   1  7 42   -2.76
2018   1  7 43   -0.67
2018   1  7 44    0.13
2018   1  7 45   -0.20
2018   1  7 46   -1.00
